payeeName,count,sum_amount
BIG SKY OPPORTUNITY PAC,3,"9,000.00"
COMMON GOOD PAC,2,"9,000.00"
"Kildee, Dan",2,"9,000.00"
Inhofe Victory Committee 2020,4,"8,910.08"
Markey for Senate,10,"8,900.00"
Kennedy for MA,4,"8,900.00"
Javier Llano,11,"8,895.78"
Irish American Democrats,9,"8,800.00"
Matt Becker for Congress,7,"8,800.00"
JOE MORELLE FOR CONGRESS,6,"8,800.00"
CINDY HYDE-SMITH FOR US SENATE,4,"8,800.00"
Lisa Murkowski for U.S. Senate,9,"8,750.00"
Chris Coons for Senate,9,"8,750.00"
Promoting our Republican Team PAC,8,"8,750.00"
Hunt for Congress,8,"8,750.00"
Tenn Political Action Committee Inc (Tenn PAC),4,"8,750.00"
KAREN BASS FOR CONGRESS,4,"8,750.00"
Greg Pence Victory,5,"8,550.00"
"The New England Council, Inc.",2,"8,542.95"
Marie Newman for Congress,4,"8,509.00"
Friends of Mazie Hirono,14,"8,500.00"
Battleground PAC,9,"8,500.00"
DEBBIE FOR CONGRESS,8,"8,500.00"
Zeldin For Congress,8,"8,500.00"
Drew Ferguson For Congress Inc.,7,"8,500.00"
Bill Flores for Congress,7,"8,500.00"
Schatz For Senate,7,"8,500.00"
Jaime Harrison for US Senate,7,"8,500.00"
DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,7,"8,500.00"
Steve Daines for Montana ,7,"8,500.00"
JOHN KENNEDY FOR US,7,"8,500.00"
Crist for Congress,7,"8,500.00"
Ashley Hinson for Congress,7,"8,500.00"
Cartwright For Congress,6,"8,500.00"
DelBene For Congress,6,"8,500.00"
BERGMAN FOR CONGRESS,6,"8,500.00"
MCNERNEY FOR CONGRESS,5,"8,500.00"
MAX ROSE FOR CONGRESS,5,"8,500.00"
Tim Ryan For Congress,5,"8,500.00"
Clay Jr for Congress,5,"8,500.00"
THE BILL KEATING COMMITTEE,5,"8,500.00"
Donald Norcross For Congress,5,"8,500.00"
SCALISE FOR CONGRESS,5,"8,500.00"
Rouzer for Congress,5,"8,500.00"
Joe Wilson For Congress,5,"8,500.00"
Nate McMurray for Congress,5,"8,500.00"
Responsibility and Freedom Work PAC (RFWPAC),4,"8,500.00"
Jesse Mermell for Congress,4,"8,500.00"
Menendez For Senate,4,"8,500.00"
John Lewis For Congress,4,"8,500.00"
WELCH FOR CONGRESS,4,"8,500.00"
PATRIOTS FOR PERRY,4,"8,500.00"
Friends of Rosa Delauro,4,"8,500.00"
FRIENDS OF JIM CLYBURN,4,"8,500.00"
DIRIGO PAC,4,"8,500.00"
DUFFY FOR WISCONSIN,4,"8,500.00"
CATHERINE CORTEZ MASTO FOR SENATE,4,"8,500.00"
GREAT LAKES PAC,3,"8,500.00"
EPAC,3,"8,500.00"
TEAM HAGERTY,3,"8,500.00"
EQUALITY PAC,3,"8,500.00"
PERDUE VICTORY INC,3,"8,500.00"
"John James for Senate, Inc.",3,"8,500.00"
Dogwood PAC,3,"8,500.00"
Alaskans for Don Young Inc,3,"8,500.00"
CISNEROS FOR CONGRESS,3,"8,500.00"
BLAINE PAC,3,"8,500.00"
DEREK PAC,3,"8,500.00"
A NEW DIRECTION PAC,3,"8,500.00"
Seeking Justice PAC,3,"8,500.00"
The Lyndon Baines Johnson Foundation,3,"8,500.00"
Getting Stuff Done PAC (GSD-PAC),3,"8,500.00"
Michigan Republican Party Federal Account,3,"8,500.00"
Lisa Murkowski for Senate,9,"8,450.00"
American Time,1,"8,330.47"
Pallone for New Jersey,5,"8,300.00"
WinRed,5,"8,300.00"
Hawaii Senate Victory Fund,7,"8,250.00"
MIKE BRAUN FOR INDIANA,6,"8,250.00"
Friends Of Jim Inhofe,5,"8,250.00"
Sara Hart Weir For Congress,4,"8,250.00"
"Friends for Chris Stewart, Inc.",9,"8,200.00"
Cindy Hyde-Smith for Senate,9,"8,200.00"
Buckeye PAC,6,"8,100.00"
Jim Clyburn's Rudolph Canzater Memorial Classic ,1,"8,015.70"
Mike Doyle for Congress,12,"8,000.00"
Citizens for John Rutherford,11,"8,000.00"
Pascrell for Congress Inc.,8,"8,000.00"
Texans for Sen. John Cornyn,8,"8,000.00"
Clarke For Congress,8,"8,000.00"
VERN BUCHANAN FOR CONGRESS,7,"8,000.00"
CITIZENS FOR ELEANOR HOLMES NORTON,7,"8,000.00"
COURTNEY FOR CONGRESS,6,"8,000.00"
FRIENDS OF PAT TOOMEY,6,"8,000.00"
Buckeye Victory Fund,6,"8,000.00"
Walberg For Congress,6,"8,000.00"
Price for Congress Committee,6,"8,000.00"
David Rouzer For Congress,6,"8,000.00"
Delbene For Congress,6,"8,000.00"
BILIRAKIS FOR CONGRESS,5,"8,000.00"
CONNOLLY FOR CONGRESS,5,"8,000.00"
MARCIA FUDGE FOR CONGRESS,5,"8,000.00"
Alma Adams For Congress,5,"8,000.00"
Romney for Utah,5,"8,000.00"
THE REED COMMITTEE,5,"8,000.00"
Fleischmann for Congress,4,"8,000.00"
Volunteers For Shimkus,4,"8,000.00"
MCCONNELL FOR MAJORITY LEADER COMMITTEE,4,"8,000.00"
Cathy McMorris Rodgers for US Congress,4,"8,000.00"
Diana Degette For Congress Inc,4,"8,000.00"
MCCOLLUM FOR CONGRESS,4,"8,000.00"
BLUMENAUER FOR CONGRESS,4,"8,000.00"
KENDRA HORN FOR CONGRESS,4,"8,000.00"
JIM JORDAN FOR CONGRESS,4,"8,000.00"
VISCLOSKY FOR CONGRESS,4,"8,000.00"
Bonamici For Congress,4,"8,000.00"
KAY GRANGER CAMPAIGN FUND,4,"8,000.00"
Joe Kennedy For Congress,4,"8,000.00"
CARPER FOR SENATE,4,"8,000.00"
"Alaskans for Don Young, Inc.",4,"8,000.00"
Cindy Axne For Congress,4,"8,000.00"
Nancy Pelosi For Congress,3,"8,000.00"
JOE KENNEDY FOR CONGRESS,3,"8,000.00"
RECLAIM AMERICA PAC,3,"8,000.00"
BONAMICI FOR CONGRESS,3,"8,000.00"
AMODEI FOR NEVADA,3,"8,000.00"
Diana Degette for Congress,3,"8,000.00"
Fund for America's Future,3,"8,000.00"
Mike Rogers For Congress,3,"8,000.00"
77 PAC,2,"8,000.00"
Tax Foundation,1,"8,000.00"
California Life Sciences Association,1,"8,000.00"
Michigan Minority Supplier Development Council,1,"8,000.00"
California Candidates Victory Fund,1,"8,000.00"
Gary Peters,10,"7,900.00"
Collins for Texas,6,"7,900.00"
Crapo for Senate,4,"7,900.00"
Joe Cunningham for Congress,21,"7,850.00"
Hickenlooper for Senate,10,"7,850.00"
Leahy for U.S. Senator,5,"7,807.84"
FRIENDS OF MICHAEL GUEST,5,"7,800.00"
NABPAC,5,"7,800.00"
Colin T. Hayes,5,"7,800.00"
Mike Crapo for U.S. Senate,4,"7,800.00"
Warner for Senate,4,"7,800.00"
Andy Kim For Congress,14,"7,750.00"
SUSIE LEE FOR CONGRESS,7,"7,750.00"
Alaskans for Don Young Inc.,7,"7,750.00"
Jason Lewis for Senate,6,"7,750.00"
LGBTQ Victory Fund Federal PAC,3,"7,750.00"
Prince George's Trap & Skeet Center,5,"7,749.96"
"Indiana Republican State Committee, Inc.",6,"7,737.00"
Ed Markey for Senate,4,"7,600.00"
Lindsay Graham,4,"7,600.00"
Horsford for Congress,10,"7,500.00"
Alaskans For Don Young,8,"7,500.00"
"Ben Cline for Congress, Inc.",7,"7,500.00"
Clay Jr. For Congress,6,"7,500.00"
Ben Cline for Congress Inc.,6,"7,500.00"
Huizenga For Congress,6,"7,500.00"
FRIENDS OF BILL POSEY,6,"7,500.00"
Garret Graves For Congress,6,"7,500.00"
FRIENDS OF TODD YOUNG INC,6,"7,500.00"
ALEX MOONEY FOR CONGRESS,6,"7,500.00"
Bill Cassidy For US Senate,6,"7,500.00"
Lamborn For Congress,6,"7,500.00"
CARTWRIGHT FOR CONGRESS,5,"7,500.00"
Dave Joyce for Congress,5,"7,500.00"
JOE WILSON FOR CONGRESS COMMITTEE,5,"7,500.00"
ALAN LOWENTHAL FOR CONGRESS,5,"7,500.00"
JULIA BROWNLEY FOR CONGRESS,5,"7,500.00"
NRSC ,4,"7,500.00"
Ann PAC,4,"7,500.00"
Neal Victory Fund,4,"7,500.00"
KEYSTONE AMERICA PAC,4,"7,500.00"
LONE STAR LEADERSHIP PAC,4,"7,500.00"
Fund for the Majority PAC,4,"7,500.00"
E PAC,4,"7,500.00"
VIEW PAC,4,"7,500.00"
Stephen F. Lynch for Congress Committee,4,"7,500.00"
ROGER WILLIAMS FOR US CONGRESS COMMITTEE,4,"7,500.00"
NARRAGANSETT BAY PAC,3,"7,500.00"
FERGUSON FOR CONGRESS - GEORGIA CAN'T WAIT,3,"7,500.00"
STEVE COHEN FOR CONGRESS,3,"7,500.00"
COTTON FOR SENATE,3,"7,500.00"
JAM PAC,3,"7,500.00"
Lynch for Congress Committee,3,"7,500.00"
Cantwell Victory Fund 2024,3,"7,500.00"
Capitol for West Virginia,3,"7,500.00"
GOPAC Election Fund,3,"7,500.00"
Democrats Reshaping America (DREAM PAC),3,"7,500.00"
National Association of Minority Automobile Dealers,3,"7,500.00"
Building Leadership and Inspiring New Enterprise PAC,3,"7,500.00"
BLUE DOG POLITICAL ACTION COMMITTEE,3,"7,500.00"
Friends For Chris Stewart Inc,3,"7,500.00"
Betty PAC,3,"7,500.00"
mba,3,"7,500.00"
FREEDOM FUND,3,"7,500.00"
New Jersey Democratic State Committee,2,"7,500.00"
Committee for a Livable Future,2,"7,500.00"
CICILLINE COMMITTEE,2,"7,500.00"
PRICE FOR CONGRESS,2,"7,500.00"
DEB HAALAND FOR CONGRESS,2,"7,500.00"
CBA PAC,2,"7,500.00"
VOTETIPTON.COM,2,"7,500.00"
brian Higgins for congress,2,"7,500.00"
mike Thompson for congress,2,"7,500.00"
Republican Party of Kentucky - Federal Account,2,"7,500.00"
Valley Political Action Committee,2,"7,500.00"
ABRAHAM LINCOLN PAC,2,"7,500.00"
BadgerPAC,2,"7,500.00"
BRIDGE THE GAP PAC,2,"7,500.00"
BUILD AMERICA PAC,2,"7,500.00"
BULLDOG PAC,2,"7,500.00"
FIGHTING FOR MISSOURI PAC,2,"7,500.00"
JUMP INTO ACTION FOR CONSERVATIVES TO KEEP OUR IDEAS ELEVATED PAC,2,"7,500.00"
MAINTAINING ALL REPUBLICANS IN OFFICE PAC,2,"7,500.00"
Peach PAC,2,"7,500.00"
RON WRIGHT FOR CONGRESS,2,"7,500.00"
CORNYN MAJORITY COMMITTEE,2,"7,500.00"
The Peter Norbeck Leadership PAC,2,"7,500.00"
RVFPAC,2,"7,500.00"
Supporting House Problem Solvers,2,"7,500.00"
DOYLE FOR CONGRESS CMTE,2,"7,500.00"
Support to Ensure Victory Everywhere PAC,2,"7,500.00"
Giving Willingly Empowering Nationally (GWEN) PAC,2,"7,500.00"
Bulldog PAC,2,"7,500.00"
DOGGETT FOR US CONGRESS,2,"7,500.00"
DUTCH PAC,2,"7,500.00"
"Jobs, Freedom, and Security PAC",2,"7,500.00"
Steve Stivers ,2,"7,500.00"
Deciding Critical Races PAC,2,"7,500.00"
Texas First PAC,2,"7,500.00"
AmeriPAC,2,"7,500.00"
Three Rivers Political Action Committee,2,"7,500.00"
Durbin Victory Committee,2,"7,500.00"
Cotton For Senate Inc,2,"7,500.00"
MPAC,2,"7,500.00"
THE PETER NORBECK LEADERSHIP PAC,2,"7,500.00"
PETERSON FOR CONGRESS,2,"7,500.00"
Garret Graves Victory Fund,2,"7,500.00"
Adam Smith For Congress Committee,2,"7,500.00"
Impact Committee,2,"7,500.00"
American Innovation Political Action Committee (AMI PAC),2,"7,500.00"
Nevada State Democratic Party,2,"7,500.00"
Iowa Democratic Party,2,"7,500.00"
SHAHEEN FOR SENATE  COMMITTEE,2,"7,500.00"
LATTA PAC,2,"7,500.00"
Let's Get to Work PAC,2,"7,500.00"
U.S. Senator Cory Gardner,1,"7,500.00"
Commeration Inc. ,1,"7,500.00"
Friends of Larry Householder,1,"7,500.00"
Huntsville-Madison County Airport Authority Paris Airshow Reception ,1,"7,500.00"
"McCarthy Victory Fund,",1,"7,500.00"
Sharice Davids,13,"7,464.00"
Don Beyer for Congress,5,"7,375.00"
Lori Trahan For Congress Committee,4,"7,350.00"
Mark Warner,7,"7,325.00"
"Andy Barr For Congress, Inc.",8,"7,307.53"
Service First Women's Victory Fund,8,"7,250.00"
John Kennedy for Us,7,"7,250.00"
Brian Mast for Congress,7,"7,250.00"
Friends to Elect Dr. Greg Murphy to Congress,6,"7,250.00"
Heinrich Victory Fund,6,"7,250.00"
Ben Sasse for U.S. Senate,5,"7,250.00"
Jim Himes for Congress,9,"7,100.00"
Chris Coons for Deleware,5,"7,100.00"
Capito for West Virginia ,6,"7,050.00"
Bridge the Gap PAC,9,"7,001.00"
Darin LaHood for Congress,8,"7,000.00"
"Pringle for Congress, Inc.",7,"7,000.00"
Mark Desaulnier for Congress,7,"7,000.00"
Buck for Colorado,7,"7,000.00"
OORAH! PAC,7,"7,000.00"
Moolenaar For Congress,6,"7,000.00"
George Holding for Congress Inc,6,"7,000.00"
DWIGHT EVANS FOR CONGRESS,6,"7,000.00"
Anthony Gonzalez For Congress,6,"7,000.00"
BARRAGAN FOR CONGRESS,6,"7,000.00"
Cummings for Congress Campaign Committee,6,"7,000.00"
Friends of Jim Clyburn ,5,"7,000.00"
RICHMOND FOR CONGRESS,5,"7,000.00"
Drew Ferguson for Congress Inc,5,"7,000.00"
Mitch McConnell,5,"7,000.00"
COMER FOR CONGRESS,5,"7,000.00"
Anthony Gonzales for Congress,5,"7,000.00"
David Schweikert for Congress,5,"7,000.00"
Roger Williams For U S Congress Committee,5,"7,000.00"
MJ Hegar for Texas,4,"7,000.00"
PINGREE FOR CONGRESS,4,"7,000.00"
Lofgren For Congress,4,"7,000.00"
MARK DESAULNIER FOR CONGRESS,4,"7,000.00"
BADGERPAC,4,"7,000.00"
MCKINLEY FOR CONGRESS,4,"7,000.00"
"Chuck Fleischmann for Congress Committee, Inc.",4,"7,000.00"
ANDY HARRIS FOR CONGRESS,4,"7,000.00"
COLE FOR CONGRESS,4,"7,000.00"
GUTHRIE FOR CONGRESS,4,"7,000.00"
DeSaulnier for Congress,4,"7,000.00"
Friends of Roy Blunt ,4,"7,000.00"
John Garamendi for Congress,4,"7,000.00"
Making A Responsible Stand For Households In America PAC,4,"7,000.00"
MJ Hegar for Senate,4,"7,000.00"
Scheller for Congress,3,"7,000.00"
CASTRO FOR CONGRESS,3,"7,000.00"
MAKE IT WORK,3,"7,000.00"
Tyron Picard,3,"7,000.00"
CAPTAIN HIGGINS FOR CONGRESS,3,"7,000.00"
DAVIS FOR CONGRESSFRIENDS OF DAVIS,3,"7,000.00"
Cowboy Victory Committee,3,"7,000.00"
Kansas Historical Foundation,3,"7,000.00"
STEVE PAC,3,"7,000.00"
Friends of Dan Kildee ,3,"7,000.00"
Mike Gallagher for Wisconsin ,3,"7,000.00"
Katie Hill For Congress,3,"7,000.00"
Jamie Raskin For Congress,3,"7,000.00"
Anthony Brown For Congress,3,"7,000.00"
ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE ARKPAC,3,"7,000.00"
Team McHenry ,2,"7,000.00"
ACCOUNTABILITY PAC,2,"7,000.00"
FIGHTING FOR SOUTH TEXAS PAC,2,"7,000.00"
Stabenow Victory Fund,2,"7,000.00"
McConnell for Senate Committee - General,2,"7,000.00"
Kathleen Rice For Congress,2,"7,000.00"
Support to Ensure Victory Everywhere PAC-STEVE PAC,2,"7,000.00"
Maintaining All Republicans in Office PAC,2,"7,000.00"
National Women's Law Center,2,"7,000.00"
Cut the Bull PAC,2,"7,000.00"
"Friends For Chris Stewart, Inc.",2,"7,000.00"
"Kansas Historical Foundation, Portrait Contribution",2,"7,000.00"
DENNY HECK FOR CONGRESS,2,"7,000.00"
FUTURE FORUM PAC,2,"7,000.00"
Scanlon For Congress,2,"7,000.00"
House Republican Campaign Committee,2,"7,000.00"
Democratic Party of Illinois  ,1,"7,000.00"
Citizens for John Cullerton for State Senate ,1,"7,000.00"
Burgess for Congress,6,"6,950.00"
Joaquin Castro Campaign,12,"6,852.68"
CONOR LAMB FOR CONGRESS,3,"6,850.00"
Carl DeMaio for Congress,13,"6,828.07"
Cloud for Congress,8,"6,800.60"
Deb Haaland For Congress,3,"6,800.00"
Crenshaw for Congress,13,"6,750.00"
Ted Yoho for Congress,8,"6,750.00"
John Katko for Congress,8,"6,750.00"
Morelle for Congress,6,"6,750.00"
Lahood for Congress,6,"6,750.00"
LANK PAC,6,"6,750.00"
HARLEY ROUDA FOR CONGRESS,5,"6,750.00"
Stephanie Murphy,5,"6,750.00"
RBA PAC,2,"6,734.76"
Jared Golden for Congress,10,"6,725.00"
Mikie Sherill for Congress,4,"6,625.00"
Watson Coleman for Congress,3,"6,600.00"
Schumer for Senate,2,"6,600.00"
Dan Bishop Victory Committee,2,"6,600.00"
Team Graham Inc. ,2,"6,600.00"
Abigail Spanberger,13,"6,550.00"
LaHood For Congress,7,"6,500.00"
LISA MURKOWSKI FOR US SENATE,6,"6,500.00"
Armstrong For Congress,6,"6,500.00"
"Kuster For Congress, Inc",6,"6,500.00"
Jeff Fortenberry For United States Congress,6,"6,500.00"
Trey For Congress,6,"6,500.00"
Lahood For Congress,6,"6,500.00"
Carol For Congress,5,"6,500.00"
GIBBS FOR CONGRESS,5,"6,500.00"
KAINE FOR VIRGINIA,5,"6,500.00"
ROSS SPANO FOR CONGRESS,5,"6,500.00"
Liz Cheney For Wyoming,5,"6,500.00"
Friends Of Ben McAdams,5,"6,500.00"
SCHATZ FOR SENATE,5,"6,500.00"
KELLY FOR CONGRESS,5,"6,500.00"
McSally For Senate Inc,5,"6,500.00"
Bonnie Watson Coleman For Congress,4,"6,500.00"
Julia Brownley For Congress,4,"6,500.00"
Davidson For Congress,4,"6,500.00"
Bill Johnson for Congress,4,"6,500.00"
Committee for Leadership and Progress,4,"6,500.00"
Ami Bera for Congress,4,"6,500.00"
Bill Huizenga for Congress,4,"6,500.00"
Nicole for New York,4,"6,500.00"
PRAMILA FOR CONGRESS,3,"6,500.00"
DOUG JONES FOR SENATE,3,"6,500.00"
RAZOR PAC,3,"6,500.00"
Defazio for Congress,3,"6,500.00"
Evergreen PAC,3,"6,500.00"
ANDRE CARSON FOR CONGRESS,3,"6,500.00"
John Kennedy for Senate,3,"6,500.00"
CNG-NY-StefanikE,3,"6,500.00"
Cory Gartner for Senate,3,"6,500.00"
"Cuellar, Henry",3,"6,500.00"
Susan Wild For Congress,3,"6,500.00"
Mike Crapo For Us Senate,3,"6,500.00"
Drew Ferguson,3,"6,500.00"
DEMOCRATS RESHAPING AMERICA DREAMPAC,2,"6,500.00"
COMMON GROUND PAC,2,"6,500.00"
GREEN MOUNTAIN PAC,2,"6,500.00"
FRIENDS OF GLENN THOMPSON,2,"6,500.00"
DAVIS FOR CONGRESS,2,"6,500.00"
Dr. Brian Babin For Congress,2,"6,500.00"
DELGADO FOR CONGRESS,2,"6,500.00"
CINDY HYDESMITH FOR US SENATE,2,"6,500.00"
"Dingell, Debbie",2,"6,500.00"
Cummings For Congress Campaign Committee,2,"6,500.00"
National Foreign Trade Council (NFTC World Trade Dinner and Awards Ceremony),1,"6,500.00"
Lucy McBath for Congress,11,"6,489.00"
Friends of John Delaney,9,"6,450.00"
ActBlue,92,"6,443.92"
Robert J. Gray,12,"6,400.00"
Yum! Brands Inc,4,"6,400.00"
U.S. Embassy Romania,1,"6,400.00"
Susan Gage Catering,1,"6,395.42"
Church for Wisconsin,15,"6,350.00"
Ann Wagner for Congress ,4,"6,350.00"
Women in Government Relations,1,"6,350.00"
Lipinski for Congress,7,"6,300.00"
David Young for Congress,9,"6,250.00"
Costa for Congress,4,"6,250.00"
ImPACt Committee,3,"6,250.00"
Paralyzed Veterans of America,1,"6,250.00"
Ben McAdams,6,"6,225.00"
Peter Damon Group (in-kind),1,"6,202.29"
Patty Murray,4,"6,200.00"
Friends of Raja,7,"6,100.00"
Ed Markey,5,"6,100.00"
Veasey for Congress,4,"6,100.00"
Jerry Moran for U.S. Senate,3,"6,100.00"
Debbie Mucarsel-Powell,3,"6,100.00"
Guy Reschenthaler for Congress,2,"6,100.00"
Casey for Senate,5,"6,050.00"
Lynn Fitch for Mississippi,4,"6,000.08"
Mark Green for Congress,8,"6,000.00"
Bob Gibbs for Congress,7,"6,000.00"
Jim Banks for Congress Inc.,7,"6,000.00"
Joni Ernst,6,"6,000.00"
Moran for Senate,6,"6,000.00"
Gary Peters for Michigan,6,"6,000.00"
Tina Smith for Senate,6,"6,000.00"
John Kennedy For Us,6,"6,000.00"
Paul Gosar for Congress,5,"6,000.00"
Eddie Bernice Johnson For Congress,5,"6,000.00"
Debbie Wasserman Schultz For Congress,5,"6,000.00"
MARCO RUBIO FOR SENATE,5,"6,000.00"
DEVIN NUNES CAMPAIGN COMMITTEE,5,"6,000.00"
FRIENDS OF JOHN THUNE,5,"6,000.00"
Ralph Abraham for Congress,5,"6,000.00"
KATHLEEN RICE FOR CONGRESS,4,"6,000.00"
CHIP ROY FOR CONGRESS,4,"6,000.00"
Pingree for Congress,4,"6,000.00"
MICHAEL BURGESS FOR CONGRESS,3,"6,000.00"
Katherine Clark,3,"6,000.00"
John Kennedy For US,3,"6,000.00"
Andy Harris For Congress,3,"6,000.00"
Perlmutter For Congress,3,"6,000.00"
Committee to Re-Elect Nydia M. Velazquez to Congress,3,"6,000.00"
JOHN LEWIS FOR CONGRESS,3,"6,000.00"
REELECT MCGOVERN COMMITTEE,3,"6,000.00"
WSW PAC,3,"6,000.00"
RUSS FULCHER FOR IDAHO,3,"6,000.00"
Friends Of Don Beyer,3,"6,000.00"
Chuck for Congress,3,"6,000.00"
Michelle Steel for Congress,3,"6,000.00"
Fund for The Majority,3,"6,000.00"
"Clay, Jr. for Congress Committee",3,"6,000.00"
VERN PAC,3,"6,000.00"
NORMA TORRES FOR CONGRESS,3,"6,000.00"
BUTTERFIELD FOR CONGRESS,3,"6,000.00"
New Democrat Coalition Action Fund ,3,"6,000.00"
STEPHEN LYNCH FOR CONGRESS,3,"6,000.00"
Robin Kelly For Congress,3,"6,000.00"
Xochitl For New Mexico,3,"6,000.00"
Make it in America PAC,2,"6,000.00"
McCaul for Congress Inc.,2,"6,000.00"
Smart Solutions,2,"6,000.00"
Wyden for Senate ,2,"6,000.00"
Citizens For Eleanor Holmes Norton,2,"6,000.00"
The Fund for American Studies,2,"6,000.00"
BSA PAC,2,"6,000.00"
mark desaulnier for congress,2,"6,000.00"
NEW HAMPSHIRE DEMOCRATIC PARTY,2,"6,000.00"
GEORGIANS FOR KELLY LOEFFLER,2,"6,000.00"
THORNBERRY FOR CONGRESS COMMITTEE,2,"6,000.00"
FUND FOR A CONSERVATIVE FUTURE,2,"6,000.00"
TEAM RICK SCOTT,2,"6,000.00"
TOM OHALLERAN FOR CONGRESS,2,"6,000.00"
Miller Victory Fund,2,"6,000.00"
THOM PAC,2,"6,000.00"
John S Fund,2,"6,000.00"
Barbara Lee For Congress,2,"6,000.00"
Friends for Gregory Meeks ,2,"6,000.00"
Carper for Senate ,2,"6,000.00"
New Economy PAC,2,"6,000.00"
Hoops PAC,2,"6,000.00"
Jacky Rosen,2,"6,000.00"
Rezin for Congress,2,"6,000.00"
Emily's List,2,"6,000.00"
"Reed Committee, The",2,"6,000.00"
Dr. Greg Murphy to Congress,2,"6,000.00"
Restoring Our Democracy (Rod Pac),2,"6,000.00"
TERRI PAC,2,"6,000.00"
BETH VAN DUYNE FOR CONGRESS,2,"6,000.00"
Ralph Abraham For Congress,2,"6,000.00"
Citizens for Rush ,2,"6,000.00"
Connie Pillich for Hamilton Co. Commissioner,2,"6,000.00"
Ashley Hinson For Congress,2,"6,000.00"
GIVING WILLINGLY EMPOWERING NATIONALLY GWEN PAC,2,"6,000.00"
SHERMAN FOR CONGRESS,2,"6,000.00"
EDDIE BERNICE JOHNSON FOR CONGRESS,2,"6,000.00"
"Lawrence, Brenda",2,"6,000.00"
Lauren Underwood For Congress,2,"6,000.00"
TRUEDEM LEADERSHIP FUND,2,"6,000.00"
Tina Smith for MN,2,"6,000.00"
FAB FOUR PAC,1,"6,000.00"
Bennet for America,13,"5,982.00"
Bishop For Congress,2,"5,950.00"
BOBBY SCOTT FOR CONGRESS,4,"5,800.00"
Perdue Victory Committee,4,"5,800.00"
Mark Warner for Virginia ,2,"5,800.00"
Stanton For Congress,14,"5,750.00"
Lee Zeldin for Congress,9,"5,750.00"
Chip Roy for Congress,8,"5,750.00"
Rob Portman for U.S. Senate,7,"5,750.00"
Rural America Counts PAC,5,"5,750.00"
BARR PAC,4,"5,750.00"
Jared Huffman,4,"5,700.00"
Jones for Senate,2,"5,700.00"
US Chamber PAC,14,"5,650.00"
Ben Sasse for Senate,3,"5,650.00"
Friends of Lucy McBath ,4,"5,619.00"
Sara for Kansas,2,"5,600.00"
"FRIENDS OF SESSIONS SENATE COMMITTEE, INC.",2,"5,600.00"
IA/NC 2020,2,"5,600.00"
David Carlucci for Congress,2,"5,600.00"
IA/NC Senate 2020,2,"5,600.00"
Schumer for Congress,2,"5,600.00"
"Kevin McCarthy For Congress, Valadao For Congress",2,"5,600.00"
"Michelle Steel for Congress 92A Surfside Avenue #472 Surfside, California 90743",2,"5,600.00"
Andy Kim for Congress (earmarked contribution),2,"5,600.00"
Malinowski for Congress (earmarked contribution),2,"5,600.00"
Bill Hagerty,1,"5,600.00"
Trump Victory Committee,1,"5,600.00"
Pelosi for Congress ,1,"5,600.00"
Ben Ray Lujan,5,"5,575.00"
Lauren Underwood,10,"5,551.00"
"Kuster for Congress, Inc.",6,"5,527.00"
Pete for America,17,"5,514.00"
Democratic Party of Oregon,2,"5,510.00"
Roger Williams for U.S. Congress Committee,6,"5,500.00"
Frederica S. Wilson for Congress,6,"5,500.00"
Austin Scott for Congress,6,"5,500.00"
The Reed Committee ,5,"5,500.00"
Greater Tomorrow PAC,5,"5,500.00"
Maggie Hassan for NH,5,"5,500.00"
Electing Majority Making Effective Republicans,5,"5,500.00"
Rick W. Allen for Congress,4,"5,500.00"
Cramer For Senate,4,"5,500.00"
Walorski for Congress Inc.,4,"5,500.00"
Garamendi For Congress,4,"5,500.00"
FREDERICA S WILSON FOR CONGRESS,4,"5,500.00"
SALUD CARBAJAL FOR CONGRESS,4,"5,500.00"
Crapo Victory Fund,4,"5,500.00"
WALBERG FOR CONGRESS,4,"5,500.00"
New Millenium PAC,4,"5,500.00"
FRIENDS OF GREGORY MEEKS,4,"5,500.00"
VERONICA ESCOBAR FOR CONGRESS,4,"5,500.00"
ROB WITTMAN FOR CONGRESS,4,"5,500.00"
David Price for Congress Committee,4,"5,500.00"
Don Young,4,"5,500.00"
Price For Congress,4,"5,500.00"
Friends of Mark Warner ,4,"5,500.00"
Boozman For Arkansas,4,"5,500.00"
Grange PAC,3,"5,500.00"
Friends of David Schweikert ,3,"5,500.00"
Josh Hawley For Senate,3,"5,500.00"
ADAM SMITH FOR CONGRESS COMMITTEE,3,"5,500.00"
Mario Diaz Balart for Congress,3,"5,500.00"
AUSTIN SCOTT FOR CONGRESS INC,3,"5,500.00"
PEOPLE FOR PATTY MURRAY,3,"5,500.00"
COMMITTEE TO ELECT JARED GOLDEN,3,"5,500.00"
John Cornyn,3,"5,500.00"
Gina Ortiz for Congress,3,"5,500.00"
NUTMEG PAC,3,"5,500.00"
Dan Lipinski For Congress,3,"5,500.00"
LORI TRAHAN FOR CONGRESS COMMITTEE,3,"5,500.00"
Van Drew For Congress,3,"5,500.00"
Cotton For Senate,3,"5,500.00"
"Jessica Taylor for Congress, Inc.",2,"5,500.00"
"The Grassley Committee, Inc",2,"5,500.00"
Clifford for Congress,2,"5,500.00"
