name,count,sum_amount
Baxter Healthcare Corporation Political Action Committee,1,"25,000.00"
Textron Inc. Political Action Committee,1,"25,000.00"
BAE Systems Inc. Political Action Committee (BAE SYSTEMS USA PAC),1,"25,000.00"
PAC to the future,16,"24,950.00"
APPA PUBLIC OWNERSHIP OF ELECTRIC RESOURCES PAC,19,"24,500.00"
150PAC.ORG,17,"24,500.00"
Olin Corp. Good Government Fund,11,"24,500.00"
"Hall, Render, Killian, Heath & Lyman Employee PAC",8,"24,500.00"
OSI PAC,7,"24,500.00"
Locke Lord LLP PAC,20,"24,250.00"
North America's Building Trades Unions Political Educational,13,"24,200.00"
Owens Corning Better Government Fund,22,"23,900.00"
American Bakers PAC,16,"23,771.32"
Nixon Peabody LLP PAC,12,"23,750.00"
Cleveland-Cliffs Inc. Political Action Committee (CliffsPAC),15,"23,500.00"
"Applied Materials, Inc. Political Action Committee",11,"23,500.00"
BMI Political Action Committee (PAC),9,"23,500.00"
"Bunge North America, Inc. Political Action Committee ",24,"23,000.00"
Mortgage Guaranty Insurance Corporation,16,"23,000.00"
National Biodiesel Political Action Committee,16,"23,000.00"
Abiomed Political Action Committee (Abiomed PAC),15,"23,000.00"
ACI-NA PAC,12,"23,000.00"
"Conagra Brands, Inc. Good Government Association",11,"23,000.00"
WinRed,2,"22,800.00"
150 PAC,20,"22,500.00"
Manufactured Housing Institute PAC (MHI-PAC),17,"22,500.00"
Lyondell Chemical Company PAC,15,"22,500.00"
American Society of Cataract and Refractive Surgery eyePAC,10,"22,500.00"
John Hancock Life Insurance Company (USA) Federal PAC,21,"22,100.00"
Zimmer Biomet PAC,14,"22,000.00"
Association of Oil Pipe Lines (AOPL) PAC,13,"22,000.00"
Association of Oil Pipe Lines PAC,13,"22,000.00"
Hoyer Majority Fund,11,"21,700.00"
Puget Sound Energy Inc. PAC for Good Government,14,"21,573.60"
American Traffic Safety Services Association PAC,18,"21,500.00"
Agricultural Retailers Association Political Action Committe,15,"21,500.00"
American Association of Child & Adolescent Psychiatry PAC,15,"21,500.00"
Varian Medical Systems PAC (''Varian PAC''),14,"21,500.00"
Quest Diagnostics Incorporated PAC (QuestPAC); C00329185,9,"21,500.00"
The Nonprofit Alliance PAC Inc. (TNPA PAC),27,"21,050.00"
Pharmavite Political Action Committee,20,"21,000.00"
AK Steel Corporation PAC,15,"21,000.00"
Thoroughbred PAC ,15,"21,000.00"
TD Bank N.A. Political Action Committee,13,"21,000.00"
WEC Energy Group Political Action Committee,11,"21,000.00"
TENET HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE,9,"21,000.00"
Huntsman Corporation PAC (Huntsman PAC),9,"21,000.00"
Broadcom Inc. Political Action Committee,8,"21,000.00"
Holland & Knight Committee for Effective Government,6,"21,000.00"
PAC to the Future,5,"21,000.00"
BEER PAC,8,"20,741.34"
AVANGRID Political Action Committee,15,"20,500.00"
American Ambulance Association Federal PAC,14,"20,500.00"
AAAE Good Government Committee (C00176727),14,"20,500.00"
National Cannabis Industry Association PAC,10,"20,200.00"
Troutman Sanders LLP PAC,15,"20,000.00"
National Association for Behavioral Healthcare PAC,11,"20,000.00"
Visa Inc. Political Action Committee,4,"20,000.00"
Carpenters Legislative Improvement Committee,3,"20,000.00"
Zovio Inc Political Action Committee,3,"20,000.00"
Merit Medical Systems Inc Employee Good Governance PAC,2,"20,000.00"
American Association for Justice Political Action Committee,1,"20,000.00"
"Merck & Co., Inc., Employees Political Action Committee (Merck PAC)",1,"20,000.00"
Jackson Lewis P.C. PAC,3,"19,800.00"
"MAGELLAN HEALTH, INC. EMPLOYEE COMMITTEE FOR GOOD GOVERNMENT",12,"19,500.00"
PEST PAC,10,"19,500.00"
Meehan for Congress,10,"19,500.00"
Friends of Schumer,12,"19,435.00"
America Now,25,"19,425.00"
Adam Kinzinger Future 1st Committee,40,"19,352.18"
Invenergy LLC PAC,11,"19,200.00"
Akin Gump Strauss Hauer & Feld PAC,39,"19,100.00"
Deloitte Political Action Committee,5,"19,050.00"
MondelAz  International PAC,18,"19,000.00"
The Kroger Co. Political Action Committee,17,"19,000.00"
Center for Sportfishing Policy PAC,13,"19,000.00"
PayPal Inc. Political Action Committee (PAYPAL PAC),11,"19,000.00"
"Jobs, Economy & Budget Fund",12,"18,750.00"
"Sazerac Company, Inc. PAC",10,"18,601.88"
Syngenta Corporation Employee Political Action Committee,17,"18,500.00"
SAFEWAY INC. POLITICAL ACTION COMMITEE (SAFEWAY PAC),8,"18,500.00"
Leading Builders fo America PAC,7,"18,165.92"
Main Street Banking Political Action Committee,32,"18,000.00"
"National Academy of Recording Arts and Sciences, Inc. PAC",12,"18,000.00"
Commerce Bancshares PAC,12,"17,700.00"
National Milk Producers Federation PAC,12,"17,500.00"
INSTITUTE FOR PORTFOLIO ALTERNATIVES PAC (IPA PAC),8,"17,500.00"
Charter Communications Inc. Political Action Committee,3,"17,500.00"
LGBTQ Victory Fund,9,"17,350.00"
Jeff PAC,6,"17,100.00"
Huizenga for Congress,25,"17,000.00"
FBB Federal Relations PAC,17,"17,000.00"
"Renewable Energy Group, Inc. Political Action Committee",12,"17,000.00"
North American Meat Institute PAC,12,"17,000.00"
NAPA PAC,11,"17,000.00"
La. Health Care Group Employee PAC,4,"17,000.00"
McCarthy Victory Committee,13,"16,500.00"
HALLPAC,12,"16,500.00"
ALLIANT ENERGY CORPORATION EMPLOYEE'S POLITICAL ACTION COMM,11,"16,500.00"
National Agricultural Aviation Association PAC (AgAv PAC),7,"16,500.00"
Distilled Spirits Council of the United States PAC,19,"16,006.71"
Prime Therapeutics LLC Employee PAC (PRIMEPAC),14,"16,000.00"
ArcelorMittal USA LLC Good Government Committee,12,"16,000.00"
Holland & Hart LLP Federal PAC,9,"16,000.00"
CareFirst BlueCross BlueShield Federal PAC,5,"16,000.00"
CareSource Management Services Co. PAC,2,"16,000.00"
Arnold & Porter Kaye Scholer LLP Partners PAC,14,"15,900.00"
The Hershey Company Political Action Committee,15,"15,750.00"
Sierra Club Political Committee,14,"15,676.96"
Ernst Victory Iowa,1,"15,600.00"
Americas Physician Groups PAC,14,"15,500.00"
Cargill PAC,13,"15,500.00"
"eHealth PAC, Inc.",6,"15,500.00"
Premium Cigar PAC,24,"15,264.48"
PEOPLE PAC,9,"15,200.00"
Cigar PAC,9,"15,043.31"
American Iron and Steel Institute SteelPAC,15,"15,000.00"
AMERIPAC,14,"15,000.00"
"Groom Law Group, Chartered Political Action Committee",9,"15,000.00"
CohnReznick LLP PAC,8,"15,000.00"
Qualcomm Incorporated Political Action Committee (QPAC),6,"15,000.00"
"JM Family Enterprises, Inc.",5,"15,000.00"
MEDNAX INC FEDERAL POLITICAL ACTION COMMITTEE,5,"15,000.00"
Bradley Arant Boult Cummings LLP Federal PAC,4,"15,000.00"
Ad Alliance,4,"15,000.00"
CoreLogic Inc. PAC,4,"15,000.00"
Noble Energy Inc. Political Action Committee,1,"15,000.00"
National Restaurant Association PAC,9,"14,980.00"
Defend America PAC,23,"14,900.00"
VSS&P PAC,10,"14,800.00"
Highmark PAC of Highmark Inc. ,16,"14,500.00"
AMERICAN BENEFITS COUNCIL PAC,11,"14,500.00"
Green Mountain PAC,10,"14,500.00"
Portland Cement Association Inc. PAC (CEMENT PAC),10,"14,500.00"
Entergy Corporation PAC (ENPAC),5,"14,500.00"
Democratic State Central Committee of Maryland,20,"14,400.00"
Recording Industry Association of America PAC ,14,"14,000.00"
NACD Responsible Distribution PAC,9,"14,000.00"
Financial Services Forum PAC,9,"14,000.00"
NATURAL PRODUCTS ASSOCIATION POLITICAL ACTION COMMITTEE,7,"14,000.00"
Keurig Dr Pepper Inc PAC,7,"14,000.00"
TECO Employees PAC,7,"14,000.00"
DynCorp International Political Action Committee (DI-PAC),2,"13,980.00"
Elect Democratic Women,12,"13,750.00"
PFIZER INC. PAC,4,"13,700.00"
Markey Victory Fund,6,"13,600.00"
Livestock Marketing Association PAC,14,"13,500.00"
American Bus Association - BusPAC Political Action Committee,13,"13,500.00"
HEINEKEN USA INC GOOD GOVERNMENT FUND C00358234,12,"13,500.00"
Iron Mountain Incorporated Employees PAC,10,"13,500.00"
GBTA Business Travel PAC,7,"13,500.00"
Barrick Gold of North America Inc. Employees PAF,7,"13,500.00"
"Dunkin' Brands, Inc. Political Action Committee",5,"13,500.00"
News Corporation PAC (News Corp PAC),16,"13,250.00"
EnPro Industries,10,"13,250.00"
"Employees of DuPont PAC - DuPont de Nemours, Inc.",13,"13,000.00"
Cook Group Inc PAC,13,"13,000.00"
Arkema Political Action Committee,13,"13,000.00"
Pernod Ricard USA LLC Political Action Committee,10,"13,000.00"
FERT PAC,9,"13,000.00"
AZOA Services Corporation (Allianz of America PAC),14,"12,800.00"
RADPAC,12,"12,789.48"
Crop Insurance and Reinsurance Bureau PAC,15,"12,750.00"
Calfee Fund for Good Government,10,"12,650.00"
Covington and Burling LLP PAC,14,"12,500.00"
National Music Publishers' Association PAC ,14,"12,500.00"
NOSSCR PAC,12,"12,500.00"
Bombardier PAC,11,"12,500.00"
Surety Fidelity Association Political Action Committee ,9,"12,500.00"
EMBRAER AIRCRAFT HOLDING INC POLITICAL ACTION COMMITTEE,9,"12,500.00"
National Association for Home Care PAC,8,"12,500.00"
Encana Oil & Gas (USA) Inc. PAC,7,"12,500.00"
LafargeHolcim USA Employees PAC,7,"12,500.00"
Buchanan Ingersoll & Rooney PC Comm for Effective Government,7,"12,500.00"
Beef-PC of Texas Cattle Feeders Association,3,"12,500.00"
"Hawaiian Airlines, Inc. Political Action Committee",9,"12,300.00"
Agriculture for Good Government Political Action Committee,8,"12,300.00"
"Bacardi USA, Inc. PAC",10,"12,000.00"
Jacobs Good Government Fund,8,"12,000.00"
American Society of Radiologic Technologists PAC,8,"12,000.00"
POTLATCHDELTIC CORPORATION POLITICAL ACTION COMMITTEE ,7,"12,000.00"
SSAB Americas PAC,7,"12,000.00"
RBC USA Holdco Corporation Federal PAC ,7,"12,000.00"
TOYPAC,6,"12,000.00"
Sunrun Inc. Political Action Committee (Sunrun PAC),5,"12,000.00"
Ericsson Inc. U.S. Employees Political Action Committee,15,"11,500.00"
Chenega PAC,7,"11,500.00"
Black Hills Corporation Political Action Committee,5,"11,500.00"
Blue Dog PAC,20,"11,450.00"
Sinclair Broadcast Group PAC,4,"11,300.00"
Tina Smith for Minnesota,14,"11,250.00"
Reynolds for Congress,9,"11,250.00"
APASI PAC,12,"11,100.00"
Adtalem Global Education INC. PAC,9,"11,000.00"
Washington Political Action Committee,8,"11,000.00"
American Society of Travel Advisors PAC,7,"11,000.00"
Peters for Michigan,6,"11,000.00"
Butler Snow PAC,6,"11,000.00"
Hawkeye PAC,5,"11,000.00"
MACANDREWS & FORBES INCORPORATED POLITICAL ACTION COMMITTEE (MAFPAC),2,"11,000.00"
American Orthotic & Prosthetic Assoc. O&P PAC,7,"10,800.00"
Green Plains Inc. PAC,10,"10,700.00"
AUAPAC,9,"10,700.00"
National Grid USA Political Action Committee,7,"10,700.00"
Michael Best PAC,9,"10,550.00"
"Citizens Financial Group, Inc. Political Action Committee",11,"10,500.00"
Surety & Fidelity Association Political Action Committee,7,"10,500.00"
U.S. Mortgage Insurers Political Action Committee (USMI-PAC),7,"10,500.00"
Balch & Bingham LLP Federal Political Committee,5,"10,500.00"
Kilpatrick Townsend PAC,9,"10,165.00"
Population Connection Action Fund PAC,11,"10,000.00"
MHPA PAC,10,"10,000.00"
American Intellectual Property Law Association (AIPLA) - PAC,9,"10,000.00"
Grain and Feed PAC,8,"10,000.00"
SeedFirst PAC,8,"10,000.00"
ClothesPAC,7,"10,000.00"
NCR Political Action Committee (NCRPAC),5,"10,000.00"
Peoples Voice Pac,5,"10,000.00"
FUTURES INDUSTRY POLITICAL ACTION COMMITTEE (FIPAC),3,"10,000.00"
IDA-PAC Political Action Committee,3,"10,000.00"
Stephens Inc. Federal Political Action Committee,2,"10,000.00"
United Steelworkers Political Action Fund,2,"10,000.00"
"Penske Truck Leasing Co., L.P. Political Action Committee",2,"10,000.00"
NAMI PAC,2,"10,000.00"
Leidos Inc. Political Action Committee,1,"10,000.00"
"CoreCivic, Inc. PAC",1,"10,000.00"
US Chamber PAC,5,"9,800.00"
Leading Builders of America PAC,4,"9,665.92"
Pillsbury Winthrop Shaw Pittman LLP PAC,9,"9,500.00"
Wine & Spirits Wholesalers of America PAC,23,"9,472.82"
"Gibbons P.C. PAC, Inc.",5,"9,300.00"
Elbit Systems of America LLC Political Action Committee,12,"9,100.00"
Drinker Biddle PAC,9,"9,000.00"
CRES PAC,8,"9,000.00"
MEMA PAC,8,"9,000.00"
Washington Gas Light Company PAC,7,"9,000.00"
Kutak Rock LLP Political Action Committee,6,"9,000.00"
The Home Depot Inc. Political Action Committee,2,"9,000.00"
Nutrien PAC,2,"9,000.00"
Arnold & Porter,6,"8,800.00"
340B HEALTH POLITICAL ACTION COMMITTEE (340B HEALTH PAC),9,"8,500.00"
NANA Regional Corporation PAC NANAPAC,8,"8,500.00"
Conservative Roundtable PAC,8,"8,500.00"
Van Ness Feldman LLP Political Action Committee,8,"8,500.00"
Friends of Chris Dodd,7,"8,500.00"
NAW Political Action Committee,6,"8,500.00"
National Funeral Directors PAC,5,"8,500.00"
WPX Energy PAC,3,"8,500.00"
ENT PAC,8,"8,000.00"
Marcia Fudge for Congress,7,"8,000.00"
TE Connectivity Corporation Political Action Committee TEPAC,7,"8,000.00"
Envelope Manufacturers Association Political Action Comm.,6,"8,000.00"
Unisys Corporation Associates Political Action Committee,6,"8,000.00"
CLPAC,4,"8,000.00"
Western Growers Political Action Committee,3,"8,000.00"
Cincinnati Bell Inc Federal PAC,9,"7,800.00"
People's Voice PAC,8,"7,800.00"
HOOSIER PAC,5,"7,800.00"
"NOIA PAC, Inc.",8,"7,750.00"
Structured Finance Coalition Political Action Committee,7,"7,750.00"
Infineon Technologies Americas Corp. PAC,11,"7,500.00"
ONEOK Inc. Employee Political Action Committee,6,"7,500.00"
National Nurses United PAC - A Fund for a Healthy America,6,"7,500.00"
RFW PAC (Roger Wicker),5,"7,500.00"
National Association of Government Guaranteed Lenders PAC,4,"7,500.00"
TRALAPAC,4,"7,500.00"
Bond Dealers of America Political Action Committee,3,"7,500.00"
Lennox Employee Advocacy Program ,3,"7,500.00"
American Academy of Dermatology Association Political Action Committee (SkinPAC),2,"7,500.00"
"Cisco Systems Inc. Federal PAC, AKA Cisco Systems ePAC",2,"7,500.00"
"PPG Industries, Inc. PAC",6,"7,200.00"
SuretyPAC,10,"7,000.00"
SHORE PAC,10,"7,000.00"
Michael Best Political Action Committee,7,"7,000.00"
FRIENDS OF BUCK MCKEON,7,"7,000.00"
Arconic Inc Employees Voluntary Political Action Committee,7,"7,000.00"
Arconic Inc. Employees Voluntary Political Action Committee,7,"7,000.00"
"S. C. Johnson & Son, Inc. Political Action Committee",7,"7,000.00"
DayPac,6,"7,000.00"
Bridgestone Americas Inc. PAC,5,"7,000.00"
NetJets Inc. PAC,4,"7,000.00"
WISPA PAC,4,"7,000.00"
Huntington BancShares Inc. Political Action Committee  (HBI-PAC),3,"7,000.00"
The National Right to Work Committee PAC,2,"7,000.00"
UWUA Committee on Political Education,2,"7,000.00"
Olsson Frank Weeda Terman Matz PC Fund for American Values ,14,"6,950.00"
Alaska Wilderness League Action Fund,6,"6,948.00"
Kamala Harris for the People,8,"6,850.00"
Environment America Voter Action,12,"6,826.64"
United for Progress Leadership Committee,3,"6,800.00"
Food Marketing Institute FoodPAC,3,"6,614.37"
CBCPAC,13,"6,600.00"
BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ PC PAC,2,"6,600.00"
National Republican Senatorial Committee,12,"6,500.00"
Vectren Corporation Employees Federal PAC,6,"6,500.00"
Saltchuk Resources Inc PAC,6,"6,500.00"
Information Technology Industry Council PAC,6,"6,500.00"
Kinzinger for Congress,6,"6,500.00"
AGA PAC,5,"6,500.00"
"PetSmart, Inc. PAC for PAWS",4,"6,500.00"
BP Corporation North America Inc. Political Action Committee,1,"6,395.42"
League of Conservation Voters Action Fund,27,"6,307.88"
Rural America Counts PAC,13,"6,250.00"
"American Multi-Cinema, Inc. Theatres (AMC Theatres) PAC",6,"6,100.00"
Friends of Mark Warner,3,"6,100.00"
Covestro PAC,6,"6,000.00"
AAMFT PAC,6,"6,000.00"
Shipbuilders Council of America PAC ,6,"6,000.00"
Hoyer for Congress,4,"6,000.00"
ACCA-PAC,3,"6,000.00"
"Spark Therapeutics, Inc. PAC (Spark PAC)",3,"6,000.00"
International Wood Products Association PAC,3,"6,000.00"
Framatome Inc. PAC,3,"6,000.00"
International Bottled Water Association PAC,3,"6,000.00"
Boyd Gaming Political Action Committee,3,"6,000.00"
Bluebird Bio PAC,3,"6,000.00"
Massachusetts Democratic Party Federal PAC,2,"6,000.00"
Conservative Leadership Political Action Committee,2,"6,000.00"
Ryder Employees Political Action Committee,2,"6,000.00"
Nucor Corporation PAC,2,"6,000.00"
National Biodiesel Board PAC,7,"5,800.00"
Better Government PAC,7,"5,750.00"
American Hospital Association Political Action Committee,2,"5,656.48"
Total Administrative Services Corp. PAC (TASC PAC),2,"5,600.00"
CVS Health PAC,5,"5,550.00"
Holding for Congress,11,"5,500.00"
Tuesday Group PAC,10,"5,500.00"
K&L Gates PAC,7,"5,500.00"
Adam Kinzinger Future 1 Committee,6,"5,500.00"
"GRAYROBINSON, P.A., POLITICAL ACTION COMMITTEE",5,"5,500.00"
Pacific Seafood Processors Association PAC,5,"5,500.00"
Modern Markets Initiative,5,"5,500.00"
GA PAC,4,"5,500.00"
MACPAC,4,"5,500.00"
National Association for Gun Rights Inc PAC,3,"5,500.00"
"TrueBlue, Inc. PAC",3,"5,500.00"
STERIS Corporation Employee PAC,3,"5,500.00"
Richmond for Congress,7,"5,250.00"
Education Opportunity PAC,2,"5,100.00"
Plumbing-Heating-Cooling Contractors (PHCC) PAC,6,"5,000.00"
Texas Medical Association Political Action Committee,5,"5,000.00"
Council for Responsible Nutrition Political Action Committee,5,"5,000.00"
American Association for Homecare Political Action Committee,4,"5,000.00"
Basin Electric Political Action Committee,4,"5,000.00"
Target Corp. Citizens Political Forum,2,"5,000.00"
NAPEO PAC,2,"5,000.00"
The Atkins US Holdings Political Action Committee,2,"5,000.00"
American Property Casualty Insurance Association Political Action Committee (Insuring America PAC),2,"5,000.00"
RePAC,2,"5,000.00"
Independent Pharmacy Cooperative PAC,2,"5,000.00"
Maryland & Virginia Milk Producers Cooperative Association P,2,"5,000.00"
International Paper Political Action Committee (IP-PAC),2,"5,000.00"
Masimo Corporation Political Action Committee,1,"5,000.00"
Political Action Committee / The Bank of New York Mellon Corporation - Federal,1,"5,000.00"
"FARMERS GROUP, INC. POLITICAL ACTION COMMITTEE",1,"5,000.00"
Eisai Inc. PAC,1,"5,000.00"
Academy of Nutrition and Dietetics PAC,1,"5,000.00"
AMERICAN AIR LIQUIDE HOLDINGS INC PAC,1,"5,000.00"
White Coat Waste PAC,1,"5,000.00"
CONSUMER TECHNOLOGY ASSOCIATION PAC,1,"5,000.00"
DPWN Holdings (USA) Inc./DHL Political Action Committee,1,"5,000.00"
Novo Nordisk Inc. PAC (Novo Nordisk PAC),1,"5,000.00"
database migration,1,"5,000.00"
Human Rights Campaign Equality Votes,1,"5,000.00"
Xerox Corporation Political Action Committee (XPAC),1,"5,000.00"
NiSource Inc. PAC,1,"5,000.00"
The Carlyle Group Inc. PAC (AKA 'Carlyle PAC'),1,"5,000.00"
NCTA - The Internet & Television Association Political Action Committee (NCTAPAC),1,"5,000.00"
EMD Serono Inc Political Action Committee,1,"5,000.00"
Goldman Sachs Group Inc. Political Action Committee,4,"4,834.39"
The J.M. Smucker Company PAC (Smucker PAC),3,"4,800.00"
Jack Reed for Senate,7,"4,750.00"
CORY GARDNER FOR SENATE,4,"4,750.00"
Steptoe & Johnson PAC,11,"4,565.80"
COMPTEL PAC,5,"4,500.00"
Ridge Policy Group Political Action Committee,5,"4,500.00"
SIFMA PAC,4,"4,500.00"
MaerskPAC,4,"4,500.00"
ASCAPAC,3,"4,500.00"
Regional Airline Association PAC,3,"4,500.00"
Personal Care Products Council Political Action Committee,3,"4,500.00"
Technology Network (Technet) Federal PAC,3,"4,500.00"
CBAI FedPac,7,"4,450.00"
Future Forum PAC,11,"4,400.00"
Democratic Senatorial Campaign Committee,9,"4,000.00"
"SANDLER, TRAVIS & ROSENBERG, P.A. POLITICAL ACTION COMMITTEE",4,"4,000.00"
Purdue Pharma Inc. PAC,4,"4,000.00"
PERSPECTA INC. POLITICAL ACTION COMMITTEE,3,"4,000.00"
Durbin Victory Fund,3,"4,000.00"
National Mobility Equipment Dealers Association PAC,3,"4,000.00"
Ingersoll Rand Co PAC,3,"4,000.00"
Road to Freedom,3,"4,000.00"
NRG ENERGY INC POLITICAL ACTION COMMITTEE (NRG PAC),2,"4,000.00"
Newmont Employees' Political Action Committee,2,"4,000.00"
Smiths Group Services Corp PAC,2,"4,000.00"
National Beer Wholesalers Association PAC,2,"4,000.00"
American Airlines Inc. Political Action Committee (AAPAC),2,"4,000.00"
Defense Dem PAC,4,"3,900.00"
Kelley Drye & Warren Political Action Committee,2,"3,800.00"
Pet Food Institute (PET) PAC,2,"3,800.00"
ASSURANT INC,2,"3,800.00"
National Association of REALTORS PAC,4,"3,791.33"
First State PAC,7,"3,750.00"
POINT PAC,2,"3,750.00"
WUFPAC,16,"3,650.00"
BakePAC of the Independent Bakers Association,9,"3,600.00"
"Music Speaks: The SoundExchange, Inc. Legislative Fund",5,"3,600.00"
Nebraska Farm Bureau - PAC,3,"3,600.00"
Friends of Joe Wilson,5,"3,500.00"
Friends of Cliff Stearns,4,"3,500.00"
Tom Malinowski,4,"3,500.00"
Self,4,"3,500.00"
daniel cameron for attorney general,3,"3,500.00"
Symantec Corporation Political Action Committee,3,"3,500.00"
DAVID ROUZER FOR CONGRESS ,2,"3,500.00"
Voters Organized to Elect Farm Bureau Friends (VOTE FBF),2,"3,500.00"
The Grant Thornton LLP Political Action Committee LLC,2,"3,500.00"
"Consolidated Edison, Inc. Employees Political Action Committ",2,"3,500.00"
"Cohen & Grigsby, P.C.",2,"3,500.00"
Praxair Inc Political Action Committee,2,"3,500.00"
The Bank Of New York Mellon Corporation - Bipac,2,"3,300.00"
AIC PAC - Board Member,7,"3,250.00"
Michael Best Political Action Committee ,3,"3,250.00"
"Ward and Smith, P.A. Political Action Committee",3,"3,250.00"
Majority in Congress PAC,8,"3,119.76"
Port PAC,7,"3,000.00"
LANXESS CORP POLITICAL ACTION COMMITTEE,6,"3,000.00"
Democratic Candidate Fund,5,"3,000.00"
General Electric Political Action Committee (GEPAC),4,"3,000.00"
Calgon Carbon Corporation Political Action Committee,3,"3,000.00"
Int'l Association of Amusement Parks & Attractions PAC,3,"3,000.00"
West Gulf Maritime Association PAC,3,"3,000.00"
"Sodexo, Inc. Political Action Committee",2,"3,000.00"
American Victory Committee,2,"3,000.00"
G-Town,2,"3,000.00"
MWW Group Inc. Political Action Committee,2,"3,000.00"
Florida Farm Bureau Federation FedPAC,2,"3,000.00"
"Gibson, Dunn & Crutcher LLP PAC",2,"3,000.00"
Internet Association PAC,2,"3,000.00"
Corning Incorporated Employees Political Action Committee (COREPAC),1,"3,000.00"
AMRPA PAC,10,"2,950.00"
NABPAC,4,"2,800.00"
"Dropbox, Inc. PAC (DBX PAC)",1,"2,800.00"
Thom Tillis Committee,1,"2,800.00"
becker for congress,1,"2,800.00"
Consumer Financial Empowerment PAC,1,"2,800.00"
Heartland Values PAC,6,"2,750.00"
Young for Iowa,5,"2,750.00"
Household & Commercial Products Association PAC,4,"2,750.00"
Western Union PAC,4,"2,750.00"
SNCPAC,4,"2,650.00"
Friends of Dan Muroff,15,"2,550.00"
The Mosaic Company Political Action Committee,9,"2,500.00"
Chris Coons for Delaware,6,"2,500.00"
Allstream PAC,5,"2,500.00"
Marc Veasy ,4,"2,500.00"
Senator Patty Murray Re-election Committee,3,"2,500.00"
Reed Smith PAC,3,"2,500.00"
Emmer for Congress,3,"2,500.00"
"Roetzel & Andress Co, LPA FSL PAC",2,"2,500.00"
Arnall Golden Gregory LLP Federal Non-Partisan Committee,2,"2,500.00"
venpac,2,"2,500.00"
Apria Healthcare LLC Political Action Committee,1,"2,500.00"
NATSO PAC,1,"2,500.00"
"Greenwich Biosciences, Inc. PAC",1,"2,500.00"
Insured Retirement Institute Political Action Committee (IRI PAC),1,"2,500.00"
ExPAC,1,"2,500.00"
Professional Services Council PAC,1,"2,500.00"
"Nike, Inc. PAC",1,"2,500.00"
Allegheny Technologies Incorporated Political Action Committ,1,"2,500.00"
"Writers Guild of America, West",1,"2,500.00"
21st Century Majority PAC,1,"2,500.00"
"Owens-Illinois, Inc. Employees Good Citizenship Fund",1,"2,500.00"
Tenable Inc. Political Action Committee (Tenable PAC),1,"2,500.00"
"UNITEDHEALTH GROUP, INC.",1,"2,500.00"
TriNet Group Political Action Committee,1,"2,500.00"
Coca-Cola Company Nonpartisan Committee for Good Government,1,"2,500.00"
Outdoor Industry Association Political Action Committee,1,"2,500.00"
Novartis PAC ,15,"2,478.00"
Narragansett Bay PAC,4,"2,260.00"
ASLRRA PAC,7,"2,250.00"
Burgess Lonestar Leadership ,5,"2,250.00"
Indiana Chamber Congressional Action Committee,4,"2,250.00"
General Motors PAC,3,"2,250.00"
Prime Policy Group / Burson Marsteller PAC,3,"2,250.00"
ALSRRA PAC,11,"2,190.00"
AFGE PAC,26,"2,122.00"
Shore PAC,4,"2,000.00"
WSW PAC,4,"2,000.00"
SNAP PAC,4,"2,000.00"
Magazine Publishers of America PAC,2,"2,000.00"
"LIVANOVA USA, INC. POLITICAL ACTION COMMITTEE (LIVANOVA PAC)",2,"2,000.00"
OMSA PAC,2,"2,000.00"
Corn Refiners Association PAC,2,"2,000.00"
"Essent US Holdings, Inc. PAC",2,"2,000.00"
Fox Corporation Political Action Committee,2,"2,000.00"
Lockheed Martin Employees PAC,2,"2,000.00"
"Saltchuk Resources, Inc. Political Action Committee",2,"2,000.00"
Microsoft PAC (MSPAC),2,"2,000.00"
TD Ameritrade Holding Corporation PAC,2,"2,000.00"
National Association of Wheat Growers WheatPAC,2,"2,000.00"
"DOCUMENT STORAGE SYSTEMS, INC. (DSS PAC)",2,"2,000.00"
The Markey Committee,2,"2,000.00"
Investment Company Institute,2,"2,000.00"
ITTA PAC,2,"2,000.00"
Ken Calvert for Congress,2,"2,000.00"
Pfizer Inc PAC,1,"2,000.00"
Cole for Congress PAC,1,"1,900.00"
McDonalds Corporation Political Action Committee,2,"1,825.00"
Maverick PAC,11,"1,750.00"
Victory Fund,6,"1,750.00"
Committee for a Democratic Future,2,"1,750.00"
Congressional Black Caucus,2,"1,750.00"
Leidos PAC,5,"1,500.00"
Zurich Holding Company of America Inc. Committee for Good Go,3,"1,500.00"
BakePAC,3,"1,500.00"
SANDLER TRAVIS & ROSENBERG P.A. POLITICAL ACTION COMMITTEE ,3,"1,500.00"
"Natixis US Holdings, Inc. PAC",2,"1,500.00"
GCSAAPAC,2,"1,500.00"
ECOLAB INC. PAC,2,"1,500.00"
Rodney for Congress,1,"1,500.00"
"SANTANDER HOLDINGS USA, INC. PAC (SANTANDER US PAC)",1,"1,500.00"
Michigan Farm Bureau AgriPac,1,"1,500.00"
"POPULUS FINANCIAL GROUP, INC. PAC",1,"1,500.00"
Scalise Leadership PAC,1,"1,500.00"
"UNITED AIRLINES, INC. POLITICAL ACTION COMMITTEE (UAPAC)",1,"1,500.00"
McConnell for Senate,1,"1,500.00"
Financial Services Forum Political Action Committee,3,"1,450.00"
PowerPAC Edision Electric Institute,2,"1,400.00"
Sunrise,20,"1,256.00"
clarke for Congress,3,"1,250.00"
Plastics Industry Association Political Action Committee,2,"1,250.00"
